[Start] Exp14 full rebuild based on Exp13 full predictions + external SL/RL
[Config] data_root=/home/wangzhe/DroneP_VG/visdrone_test_100
[Config] exp13_pred_dir=/home/wangzhe/DroneP_VG/experiment/exp13_full_rebuild_20260421/log/predictions
[Config] sw_pred_root=/home/wangzhe/DroneP_VG/experiment/lab9_reproduce_20260421/log/predictions
[Config] split=70/15/15, SL=60 epochs, RL=40 epochs
[SL] epoch=001/60 loss=0.810965 train_acc=0.4276 val_loss=0.827036 val_acc=0.5423
[SL] epoch=002/60 loss=0.800571 train_acc=0.6479 val_loss=0.826678 val_acc=0.6474
[SL] epoch=003/60 loss=0.797580 train_acc=0.7154 val_loss=0.823046 val_acc=0.6680
[SL] epoch=004/60 loss=0.780095 train_acc=0.7243 val_loss=0.816072 val_acc=0.6742
[SL] epoch=005/60 loss=0.764359 train_acc=0.7295 val_loss=0.808620 val_acc=0.6598
[SL] epoch=006/60 loss=0.756411 train_acc=0.7328 val_loss=0.799120 val_acc=0.6598
[SL] epoch=007/60 loss=0.729544 train_acc=0.7361 val_loss=0.784252 val_acc=0.6722
[SL] epoch=008/60 loss=0.702264 train_acc=0.7379 val_loss=0.766292 val_acc=0.6907
[SL] epoch=009/60 loss=0.695603 train_acc=0.7379 val_loss=0.749371 val_acc=0.6907
[SL] epoch=010/60 loss=0.667471 train_acc=0.7309 val_loss=0.725674 val_acc=0.7113
[SL] epoch=011/60 loss=0.647292 train_acc=0.7290 val_loss=0.700011 val_acc=0.7299
[SL] epoch=012/60 loss=0.642675 train_acc=0.7253 val_loss=0.691124 val_acc=0.7381
[SL] epoch=013/60 loss=0.664600 train_acc=0.7286 val_loss=0.694583 val_acc=0.7320
[SL] epoch=014/60 loss=0.634803 train_acc=0.7304 val_loss=0.709872 val_acc=0.7320
[SL] epoch=015/60 loss=0.607019 train_acc=0.7323 val_loss=0.719693 val_acc=0.7299
[SL] epoch=016/60 loss=0.659601 train_acc=0.7342 val_loss=0.713503 val_acc=0.7299
[SL] epoch=017/60 loss=0.625802 train_acc=0.7314 val_loss=0.709912 val_acc=0.7381
[SL] epoch=018/60 loss=0.608141 train_acc=0.7304 val_loss=0.707038 val_acc=0.7423
[SL] epoch=019/60 loss=0.629406 train_acc=0.7412 val_loss=0.722384 val_acc=0.7093
[SL] epoch=020/60 loss=0.590269 train_acc=0.7431 val_loss=0.736686 val_acc=0.7052
[SL] epoch=021/60 loss=0.618276 train_acc=0.7417 val_loss=0.741482 val_acc=0.7031
[SL] epoch=022/60 loss=0.634210 train_acc=0.7436 val_loss=0.725470 val_acc=0.7155
[SL] epoch=023/60 loss=0.622785 train_acc=0.7375 val_loss=0.717316 val_acc=0.7175
[SL] epoch=024/60 loss=0.606088 train_acc=0.7375 val_loss=0.721625 val_acc=0.7113
[SL] epoch=025/60 loss=0.631240 train_acc=0.7407 val_loss=0.719015 val_acc=0.7175
[SL] epoch=026/60 loss=0.624715 train_acc=0.7389 val_loss=0.720818 val_acc=0.7196
[SL] epoch=027/60 loss=0.594852 train_acc=0.7426 val_loss=0.736742 val_acc=0.7155
[SL] epoch=028/60 loss=0.583819 train_acc=0.7464 val_loss=0.754186 val_acc=0.6969
[SL] epoch=029/60 loss=0.642895 train_acc=0.7417 val_loss=0.730812 val_acc=0.7216
[SL] epoch=030/60 loss=0.637183 train_acc=0.7314 val_loss=0.714829 val_acc=0.7237
[SL] epoch=031/60 loss=0.589249 train_acc=0.7450 val_loss=0.730285 val_acc=0.7052
[SL] epoch=032/60 loss=0.596063 train_acc=0.7506 val_loss=0.774967 val_acc=0.6907
[SL] epoch=033/60 loss=0.626230 train_acc=0.7492 val_loss=0.777167 val_acc=0.6825
[SL] epoch=034/60 loss=0.671310 train_acc=0.7473 val_loss=0.738622 val_acc=0.6907
[SL] epoch=035/60 loss=0.619132 train_acc=0.7384 val_loss=0.718311 val_acc=0.7093
[SL] epoch=036/60 loss=0.622028 train_acc=0.7398 val_loss=0.722098 val_acc=0.7155
[SL] epoch=037/60 loss=0.593864 train_acc=0.7496 val_loss=0.743251 val_acc=0.6928
[SL] epoch=038/60 loss=0.619082 train_acc=0.7506 val_loss=0.779206 val_acc=0.6536
[SL] epoch=039/60 loss=0.617548 train_acc=0.7520 val_loss=0.769535 val_acc=0.6722
[SL] epoch=040/60 loss=0.585829 train_acc=0.7515 val_loss=0.744661 val_acc=0.6948
[SL] epoch=041/60 loss=0.613207 train_acc=0.7482 val_loss=0.719077 val_acc=0.6990
[SL] epoch=042/60 loss=0.588794 train_acc=0.7450 val_loss=0.704563 val_acc=0.7093
[SL] epoch=043/60 loss=0.582461 train_acc=0.7506 val_loss=0.715777 val_acc=0.7052
[SL] epoch=044/60 loss=0.608025 train_acc=0.7501 val_loss=0.731674 val_acc=0.7010
[SL] epoch=045/60 loss=0.617916 train_acc=0.7501 val_loss=0.747214 val_acc=0.6948
[SL] epoch=046/60 loss=0.620570 train_acc=0.7482 val_loss=0.744538 val_acc=0.7052
[SL] epoch=047/60 loss=0.580423 train_acc=0.7529 val_loss=0.727111 val_acc=0.7072
[SL] epoch=048/60 loss=0.618930 train_acc=0.7529 val_loss=0.715583 val_acc=0.7113
[SL] epoch=049/60 loss=0.596048 train_acc=0.7496 val_loss=0.726371 val_acc=0.7072
[SL] epoch=050/60 loss=0.610348 train_acc=0.7543 val_loss=0.753088 val_acc=0.6866
[SL] epoch=051/60 loss=0.570600 train_acc=0.7595 val_loss=0.760722 val_acc=0.6784
[SL] epoch=052/60 loss=0.618365 train_acc=0.7520 val_loss=0.748387 val_acc=0.6825
[SL] epoch=053/60 loss=0.557358 train_acc=0.7525 val_loss=0.726746 val_acc=0.7072
[SL] epoch=054/60 loss=0.625073 train_acc=0.7459 val_loss=0.726130 val_acc=0.7093
[SL] epoch=055/60 loss=0.604411 train_acc=0.7553 val_loss=0.741482 val_acc=0.6990
[SL] epoch=056/60 loss=0.604537 train_acc=0.7604 val_loss=0.767760 val_acc=0.6763
[SL] epoch=057/60 loss=0.593654 train_acc=0.7590 val_loss=0.772323 val_acc=0.6804
[SL] epoch=058/60 loss=0.616349 train_acc=0.7623 val_loss=0.751708 val_acc=0.6928
[SL] epoch=059/60 loss=0.586900 train_acc=0.7548 val_loss=0.734574 val_acc=0.7072
[SL] epoch=060/60 loss=0.593457 train_acc=0.7600 val_loss=0.743421 val_acc=0.6928
[RL] epoch=001/40 loss=0.024540 reward=0.3960 val_reward=0.3763 val_acc05=0.2126
[RL] epoch=002/40 loss=0.001831 reward=0.3956 val_reward=0.4297 val_acc05=0.2948
[RL] epoch=003/40 loss=-0.006196 reward=0.4091 val_reward=0.4900 val_acc05=0.4684
[RL] epoch=004/40 loss=-0.008637 reward=0.4001 val_reward=0.4885 val_acc05=0.4671
[RL] epoch=005/40 loss=-0.010517 reward=0.4036 val_reward=0.4863 val_acc05=0.4655
[RL] epoch=006/40 loss=-0.012249 reward=0.4026 val_reward=0.4864 val_acc05=0.4472
[RL] epoch=007/40 loss=-0.014898 reward=0.4011 val_reward=0.4838 val_acc05=0.4499
