[Start] Exp15 language-attention rebuild based on Exp14 pipeline
[Config] data_root=/home/wangzhe/DroneP_VG/visdrone_test_100
[Config] exp13_pred_dir=/home/wangzhe/DroneP_VG/experiment/exp13_full_rebuild_20260421/log/predictions
[Config] sw_pred_root=/home/wangzhe/DroneP_VG/experiment/lab9_reproduce_20260421/log/predictions
[Config] language_prompt=aerial traffic scene with roads, vehicles, and drones in sky
[Config] split=70/15/15, SL=60 epochs, RL=40 epochs
[SL] epoch=001/60 loss=0.809509 train_acc=0.4585 val_loss=0.830109 val_acc=0.5423
[SL] epoch=002/60 loss=0.801084 train_acc=0.6746 val_loss=0.825569 val_acc=0.6742
[SL] epoch=003/60 loss=0.785926 train_acc=0.7436 val_loss=0.820312 val_acc=0.6948
[SL] epoch=004/60 loss=0.774612 train_acc=0.7436 val_loss=0.812919 val_acc=0.6825
[SL] epoch=005/60 loss=0.753227 train_acc=0.7426 val_loss=0.804013 val_acc=0.6619
[SL] epoch=006/60 loss=0.738421 train_acc=0.7468 val_loss=0.795447 val_acc=0.6577
[SL] epoch=007/60 loss=0.725017 train_acc=0.7436 val_loss=0.781174 val_acc=0.6639
[SL] epoch=008/60 loss=0.684864 train_acc=0.7431 val_loss=0.763388 val_acc=0.6804
[SL] epoch=009/60 loss=0.641340 train_acc=0.7384 val_loss=0.747846 val_acc=0.7010
[SL] epoch=010/60 loss=0.646306 train_acc=0.7398 val_loss=0.737570 val_acc=0.7113
[SL] epoch=011/60 loss=0.635653 train_acc=0.7389 val_loss=0.727313 val_acc=0.7175
[SL] epoch=012/60 loss=0.674830 train_acc=0.7365 val_loss=0.715107 val_acc=0.7299
[SL] epoch=013/60 loss=0.641879 train_acc=0.7337 val_loss=0.705205 val_acc=0.7361
[SL] epoch=014/60 loss=0.628643 train_acc=0.7323 val_loss=0.705374 val_acc=0.7340
[SL] epoch=015/60 loss=0.658189 train_acc=0.7351 val_loss=0.708322 val_acc=0.7361
[SL] epoch=016/60 loss=0.607963 train_acc=0.7332 val_loss=0.706331 val_acc=0.7340
[SL] epoch=017/60 loss=0.630758 train_acc=0.7318 val_loss=0.708987 val_acc=0.7216
[SL] epoch=018/60 loss=0.624763 train_acc=0.7440 val_loss=0.733208 val_acc=0.7052
[SL] epoch=019/60 loss=0.605670 train_acc=0.7459 val_loss=0.752680 val_acc=0.7010
[SL] epoch=020/60 loss=0.641507 train_acc=0.7445 val_loss=0.747888 val_acc=0.7072
[SL] epoch=021/60 loss=0.603035 train_acc=0.7365 val_loss=0.735102 val_acc=0.7052
[SL] epoch=022/60 loss=0.606735 train_acc=0.7351 val_loss=0.741582 val_acc=0.7010
[SL] epoch=023/60 loss=0.627473 train_acc=0.7468 val_loss=0.762713 val_acc=0.6969
[SL] epoch=024/60 loss=0.651114 train_acc=0.7520 val_loss=0.773077 val_acc=0.6887
[SL] epoch=025/60 loss=0.625842 train_acc=0.7412 val_loss=0.740218 val_acc=0.7113
[SL] epoch=026/60 loss=0.632411 train_acc=0.7351 val_loss=0.724275 val_acc=0.7113
[SL] epoch=027/60 loss=0.609854 train_acc=0.7365 val_loss=0.729177 val_acc=0.7237
[SL] epoch=028/60 loss=0.601842 train_acc=0.7473 val_loss=0.757831 val_acc=0.6907
[SL] epoch=029/60 loss=0.638059 train_acc=0.7520 val_loss=0.782407 val_acc=0.6722
[SL] epoch=030/60 loss=0.625308 train_acc=0.7482 val_loss=0.764079 val_acc=0.6948
[SL] epoch=031/60 loss=0.578994 train_acc=0.7421 val_loss=0.735962 val_acc=0.7134
[SL] epoch=032/60 loss=0.591430 train_acc=0.7421 val_loss=0.736244 val_acc=0.7113
[SL] epoch=033/60 loss=0.610227 train_acc=0.7496 val_loss=0.757398 val_acc=0.7010
[SL] epoch=034/60 loss=0.599978 train_acc=0.7501 val_loss=0.765224 val_acc=0.7010
[SL] epoch=035/60 loss=0.607810 train_acc=0.7492 val_loss=0.771198 val_acc=0.6845
[SL] epoch=036/60 loss=0.606170 train_acc=0.7492 val_loss=0.764089 val_acc=0.6845
[SL] epoch=037/60 loss=0.594254 train_acc=0.7478 val_loss=0.755630 val_acc=0.6907
[SL] epoch=038/60 loss=0.606150 train_acc=0.7482 val_loss=0.753941 val_acc=0.6969
[SL] epoch=039/60 loss=0.591200 train_acc=0.7478 val_loss=0.765025 val_acc=0.6887
[SL] epoch=040/60 loss=0.580116 train_acc=0.7539 val_loss=0.783500 val_acc=0.6804
[SL] epoch=041/60 loss=0.613040 train_acc=0.7496 val_loss=0.767413 val_acc=0.6845
[SL] epoch=042/60 loss=0.592025 train_acc=0.7450 val_loss=0.740462 val_acc=0.6928
[SL] epoch=043/60 loss=0.622497 train_acc=0.7482 val_loss=0.751218 val_acc=0.6969
[SL] epoch=044/60 loss=0.592214 train_acc=0.7548 val_loss=0.778539 val_acc=0.6680
[SL] epoch=045/60 loss=0.593582 train_acc=0.7506 val_loss=0.766039 val_acc=0.6825
[SL] epoch=046/60 loss=0.596559 train_acc=0.7515 val_loss=0.737181 val_acc=0.6969
[SL] epoch=047/60 loss=0.614774 train_acc=0.7468 val_loss=0.732258 val_acc=0.7093
[SL] epoch=048/60 loss=0.586583 train_acc=0.7581 val_loss=0.755118 val_acc=0.6742
[SL] epoch=049/60 loss=0.603148 train_acc=0.7557 val_loss=0.766791 val_acc=0.6660
[SL] epoch=050/60 loss=0.564594 train_acc=0.7553 val_loss=0.745383 val_acc=0.6825
[SL] epoch=051/60 loss=0.594136 train_acc=0.7511 val_loss=0.725792 val_acc=0.7072
[SL] epoch=052/60 loss=0.600378 train_acc=0.7454 val_loss=0.724433 val_acc=0.6990
[SL] epoch=053/60 loss=0.609736 train_acc=0.7557 val_loss=0.751235 val_acc=0.6990
[SL] epoch=054/60 loss=0.590206 train_acc=0.7529 val_loss=0.775858 val_acc=0.6887
[SL] epoch=055/60 loss=0.592907 train_acc=0.7557 val_loss=0.757179 val_acc=0.7010
[SL] epoch=056/60 loss=0.581530 train_acc=0.7576 val_loss=0.748006 val_acc=0.6948
[SL] epoch=057/60 loss=0.612103 train_acc=0.7548 val_loss=0.743628 val_acc=0.7031
[SL] epoch=058/60 loss=0.589940 train_acc=0.7543 val_loss=0.745098 val_acc=0.6990
[SL] epoch=059/60 loss=0.574850 train_acc=0.7553 val_loss=0.743179 val_acc=0.6948
[SL] epoch=060/60 loss=0.592162 train_acc=0.7492 val_loss=0.735730 val_acc=0.6866
[RL] epoch=001/40 loss=0.023947 reward=0.3880 val_reward=0.3871 val_acc05=0.2176
[RL] epoch=002/40 loss=-0.000180 reward=0.3805 val_reward=0.4376 val_acc05=0.2949
[RL] epoch=003/40 loss=-0.002368 reward=0.3839 val_reward=0.4381 val_acc05=0.3221
[RL] epoch=004/40 loss=-0.004299 reward=0.3798 val_reward=0.4407 val_acc05=0.3282
[RL] epoch=005/40 loss=-0.003666 reward=0.3854 val_reward=0.4700 val_acc05=0.4319
[RL] epoch=006/40 loss=-0.005249 reward=0.3920 val_reward=0.4787 val_acc05=0.4424
[RL] epoch=007/40 loss=-0.009076 reward=0.3933 val_reward=0.4790 val_acc05=0.4402
[RL] epoch=008/40 loss=-0.011939 reward=0.3922 val_reward=0.4690 val_acc05=0.4232
[RL] epoch=009/40 loss=-0.015155 reward=0.3939 val_reward=0.4798 val_acc05=0.4416
[RL] epoch=010/40 loss=-0.016186 reward=0.3901 val_reward=0.4566 val_acc05=0.4113
[RL] epoch=011/40 loss=-0.017413 reward=0.3861 val_reward=0.4535 val_acc05=0.4051
[RL] epoch=012/40 loss=-0.017309 reward=0.3896 val_reward=0.4631 val_acc05=0.4282
[RL] epoch=013/40 loss=-0.018805 reward=0.3872 val_reward=0.4560 val_acc05=0.4253
[RL] epoch=014/40 loss=-0.018608 reward=0.3899 val_reward=0.4756 val_acc05=0.4582
[RL] epoch=015/40 loss=-0.021255 reward=0.3868 val_reward=0.4316 val_acc05=0.3917
[RL] epoch=016/40 loss=-0.021200 reward=0.3845 val_reward=0.4257 val_acc05=0.3737
[RL] epoch=017/40 loss=-0.022003 reward=0.3862 val_reward=0.4358 val_acc05=0.3959
[RL] epoch=018/40 loss=-0.020797 reward=0.3840 val_reward=0.4201 val_acc05=0.3725
[RL] epoch=019/40 loss=-0.022286 reward=0.3845 val_reward=0.4520 val_acc05=0.4109
[RL] epoch=020/40 loss=-0.023305 reward=0.3834 val_reward=0.4108 val_acc05=0.3755
[RL] epoch=021/40 loss=-0.026537 reward=0.3773 val_reward=0.4149 val_acc05=0.3712
[RL] epoch=022/40 loss=-0.024168 reward=0.3828 val_reward=0.4148 val_acc05=0.3760
[RL] epoch=023/40 loss=-0.025098 reward=0.3794 val_reward=0.3727 val_acc05=0.3107
[RL] epoch=024/40 loss=-0.024275 reward=0.3800 val_reward=0.3570 val_acc05=0.3177
[RL] epoch=025/40 loss=-0.027042 reward=0.3717 val_reward=0.3229 val_acc05=0.2555
[RL] epoch=026/40 loss=-0.026542 reward=0.3696 val_reward=0.3297 val_acc05=0.2737
[RL] epoch=027/40 loss=-0.028061 reward=0.3686 val_reward=0.3516 val_acc05=0.3240
[RL] epoch=028/40 loss=-0.030766 reward=0.3653 val_reward=0.3053 val_acc05=0.2461
[RL] epoch=029/40 loss=-0.026709 reward=0.3704 val_reward=0.2948 val_acc05=0.2518
[RL] epoch=030/40 loss=-0.030312 reward=0.3658 val_reward=0.3157 val_acc05=0.2807
[RL] epoch=031/40 loss=-0.030910 reward=0.3626 val_reward=0.3064 val_acc05=0.2621
