split	stem	image_path	annotation_path
train	0000074_07297_d_0000014	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/0000074_07297_d_0000014.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/0000074_07297_d_0000014.txt
train	0000074_08777_d_0000017	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/0000074_08777_d_0000017.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/0000074_08777_d_0000017.txt
train	0000087_00700_d_0000003	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/0000087_00700_d_0000003.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/0000087_00700_d_0000003.txt
train	0000105_02201_d_0000071	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/0000105_02201_d_0000071.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/0000105_02201_d_0000071.txt
train	0000259_01000_d_0000003	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/0000259_01000_d_0000003.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/0000259_01000_d_0000003.txt
train	0000259_03500_d_0000008	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/0000259_03500_d_0000008.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/0000259_03500_d_0000008.txt
train	0000272_04000_d_0000009	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/0000272_04000_d_0000009.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/0000272_04000_d_0000009.txt
train	0000272_05000_d_0000011	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/0000272_05000_d_0000011.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/0000272_05000_d_0000011.txt
train	0000314_00000_d_0000142	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/0000314_00000_d_0000142.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/0000314_00000_d_0000142.txt
train	0000321_00000_d_0000015	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/0000321_00000_d_0000015.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/0000321_00000_d_0000015.txt
train	0000328_00300_d_0000020	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/0000328_00300_d_0000020.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/0000328_00300_d_0000020.txt
train	9999938_00000_d_0000005	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000005.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000005.txt
train	9999938_00000_d_0000035	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000035.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000035.txt
train	9999938_00000_d_0000068	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000068.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000068.txt
train	9999938_00000_d_0000076	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000076.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000076.txt
train	9999938_00000_d_0000083	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000083.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000083.txt
train	9999938_00000_d_0000084	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000084.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000084.txt
train	9999938_00000_d_0000100	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000100.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000100.txt
train	9999938_00000_d_0000157	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000157.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000157.txt
train	9999938_00000_d_0000199	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000199.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000199.txt
train	9999938_00000_d_0000207	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000207.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000207.txt
train	9999938_00000_d_0000216	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000216.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000216.txt
train	9999938_00000_d_0000226	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000226.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000226.txt
train	9999938_00000_d_0000291	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000291.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000291.txt
train	9999938_00000_d_0000296	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000296.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000296.txt
train	9999938_00000_d_0000302	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000302.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000302.txt
train	9999938_00000_d_0000313	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000313.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000313.txt
train	9999938_00000_d_0000319	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000319.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000319.txt
train	9999938_00000_d_0000342	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000342.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000342.txt
train	9999938_00000_d_0000350	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000350.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000350.txt
train	9999938_00000_d_0000439	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000439.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000439.txt
train	9999938_00000_d_0000446	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000446.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000446.txt
train	9999938_00000_d_0000454	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000454.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000454.txt
train	9999938_00000_d_0000477	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000477.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000477.txt
train	9999938_00000_d_0000485	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000485.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000485.txt
train	9999938_00000_d_0000490	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000490.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000490.txt
train	9999938_00000_d_0000497	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000497.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000497.txt
train	9999938_00000_d_0000508	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999938_00000_d_0000508.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999938_00000_d_0000508.txt
train	9999941_00000_d_0000009	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999941_00000_d_0000009.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999941_00000_d_0000009.txt
train	9999941_00000_d_0000011	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999941_00000_d_0000011.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999941_00000_d_0000011.txt
train	9999952_00000_d_0000032	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999952_00000_d_0000032.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999952_00000_d_0000032.txt
train	9999952_00000_d_0000033	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999952_00000_d_0000033.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999952_00000_d_0000033.txt
train	9999952_00000_d_0000096	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999952_00000_d_0000096.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999952_00000_d_0000096.txt
train	9999952_00000_d_0000108	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999952_00000_d_0000108.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999952_00000_d_0000108.txt
train	9999952_00000_d_0000114	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999952_00000_d_0000114.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999952_00000_d_0000114.txt
train	9999952_00000_d_0000202	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999952_00000_d_0000202.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999952_00000_d_0000202.txt
train	9999952_00000_d_0000261	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999952_00000_d_0000261.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999952_00000_d_0000261.txt
train	9999952_00000_d_0000266	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999952_00000_d_0000266.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999952_00000_d_0000266.txt
train	9999952_00000_d_0000298	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999952_00000_d_0000298.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999952_00000_d_0000298.txt
train	9999952_00000_d_0000308	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999952_00000_d_0000308.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999952_00000_d_0000308.txt
train	9999952_00000_d_0000317	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/images/9999952_00000_d_0000317.jpg	/home/wangzhe/DroneP_VG/experiment/exp16_attn_bigmlp_20260422/data/VisDroneSplit100/VisDrone2019-DET-train/annotations/9999952_00000_d_0000317.txt
