split	stem	image_path	annotation_path	source_split
train	0000006_01659_d_0000004	/home/wangzhe/DroneP_VG/dataset/VisDroneSplit1000Guarded/VisDrone2019-DET-train/images/0000006_01659_d_0000004.jpg	/home/wangzhe/DroneP_VG/dataset/VisDroneSplit1000Guarded/VisDrone2019-DET-train/annotations/0000006_01659_d_0000004.txt	test
train	0000008_00889_d_0000039	/home/wangzhe/DroneP_VG/dataset/VisDroneSplit1000Guarded/VisDrone2019-DET-train/images/0000008_00889_d_0000039.jpg	/home/wangzhe/DroneP_VG/dataset/VisDroneSplit1000Guarded/VisDrone2019-DET-train/annotations/0000008_00889_d_0000039.txt	train
train	0000011_05068_d_0000008	/home/wangzhe/DroneP_VG/dataset/VisDroneSplit1000Guarded/VisDrone2019-DET-train/images/0000011_05068_d_0000008.jpg	/home/wangzhe/DroneP_VG/dataset/VisDroneSplit1000Guarded/VisDrone2019-DET-train/annotations/0000011_05068_d_0000008.txt	test
train	0000026_03000_d_0000030	/home/wangzhe/DroneP_VG/dataset/VisDroneSplit1000Guarded/VisDrone2019-DET-train/images/0000026_03000_d_0000030.jpg	/home/wangzhe/DroneP_VG/dataset/VisDroneSplit1000Guarded/VisDrone2019-DET-train/annotations/0000026_03000_d_0000030.txt	val
train	0000039_00000_d_0000055	/home/wangzhe/DroneP_VG/dataset/VisDroneSplit1000Guarded/VisDrone2019-DET-train/images/0000039_00000_d_0000055.jpg	/home/wangzhe/DroneP_VG/dataset/VisDroneSplit1000Guarded/VisDrone2019-DET-train/annotations/0000039_00000_d_0000055.txt	train
train	0000045_00500_d_0000084	/home/wangzhe/DroneP_VG/dataset/VisDroneSplit1000Guarded/VisDrone2019-DET-train/images/0000045_00500_d_0000084.jpg	/home/wangzhe/DroneP_VG/dataset/VisDroneSplit1000Guarded/VisDrone2019-DET-train/annotations/0000045_00500_d_0000084.txt	train
train	0000045_01032_d_0000085	/home/wangzhe/DroneP_VG/dataset/VisDroneSplit1000Guarded/VisDrone2019-DET-train/images/0000045_01032_d_0000085.jpg	/home/wangzhe/DroneP_VG/dataset/VisDroneSplit1000Guarded/VisDrone2019-DET-train/annotations/0000045_01032_d_0000085.txt	train
train	0000063_07000_d_0000008	/home/wangzhe/DroneP_VG/dataset/VisDroneSplit1000Guarded/VisDrone2019-DET-train/images/0000063_07000_d_0000008.jpg	/home/wangzhe/DroneP_VG/dataset/VisDroneSplit1000Guarded/VisDrone2019-DET-train/annotations/0000063_07000_d_0000008.txt	test
train	0000063_08995_d_0000010	/home/wangzhe/DroneP_VG/dataset/VisDroneSplit1000Guarded/VisDrone2019-DET-train/images/0000063_08995_d_0000010.jpg	/home/wangzhe/DroneP_VG/dataset/VisDroneSplit1000Guarded/VisDrone2019-DET-train/annotations/0000063_08995_d_0000010.txt	test
train	0000068_01500_d_0000005	/home/wangzhe/DroneP_VG/dataset/VisDroneSplit1000Guarded/VisDrone2019-DET-train/images/0000068_01500_d_0000005.jpg	/home/wangzhe/DroneP_VG/dataset/VisDroneSplit1000Guarded/VisDrone2019-DET-train/annotations/0000068_01500_d_0000005.txt	train
